#Workload: connect; select 1; disconnect;
#average connect time [ms]
#
#thread count       	1	8	16	32	64	128	256
mariadb-5.5.20      	---	---	---	---	---	---	---
mariadb-10.2.12     	0.1100	0.1200	0.1400	0.2400	0.4800	0.9900	2.0900
mariadb-10.2.13     	0.1100	0.1100	0.1400	0.2400	0.4900	1.0000	2.1000
mariadb-10.3.0      	0.1100	0.1100	0.1400	0.2600	0.5300	1.0700	2.2400
mariadb-10.3.1      	0.1200	0.1300	0.2000	0.3900	0.7900	1.5900	3.2200
mariadb-10.3.2      	0.1200	0.1300	0.2000	0.3900	0.7900	1.5900	3.2000
mariadb-10.3.4      	0.1200	0.1300	0.2000	0.4000	0.8000	1.6000	3.2100
mariadb-10.3.5      	0.1200	0.1300	0.2000	0.4100	0.8100	1.6300	3.2900
mysql-5.6.26        	0.1300	0.2100	0.4100	0.8400	1.6600	3.3400	6.6700
mysql-5.6.27        	0.1300	0.2100	0.4000	0.8200	1.6600	3.3600	6.7200
mysql-5.6.28        	0.1200	0.2100	0.4100	0.8300	1.6700	3.3800	6.6700
mysql-5.6.29        	0.1300	0.2100	0.4100	0.8300	1.6600	3.3500	6.6400
mysql-5.6.30        	0.1300	0.2100	0.4100	0.8200	1.6600	3.3600	6.7200
mysql-5.6.31        	0.1400	0.2100	0.4100	0.8100	1.6400	3.3600	6.7200
mysql-5.6.32        	0.1300	0.2100	0.4100	0.8300	1.6600	3.4000	6.7600
mysql-5.6.33        	0.1200	0.2200	0.4300	0.8200	1.6800	3.3900	6.9000
mysql-5.6.34        	0.1300	0.2100	0.4100	0.8300	1.6600	3.3500	6.7100
mysql-5.6.35        	0.1300	0.2100	0.4100	0.8300	1.6500	3.3000	6.6300
mysql-5.6.36        	0.1200	0.2200	0.4300	0.8400	1.6900	3.4400	6.9100
mysql-5.6.37        	0.1700	0.2200	0.4300	0.8500	1.7300	3.4800	7.0500
mysql-5.7.9         	0.1600	0.1500	0.1800	0.3400	2.4600	7.5600	15.060
mysql-5.7.10        	0.1800	0.1500	0.1800	0.3400	1.3700	7.2300	14.420
mysql-5.7.11        	0.1600	0.1500	0.1800	0.3400	2.0500	7.3100	14.570
mysql-5.7.12        	0.1700	0.1600	0.1900	0.3600	1.0000	7.3100	14.550
mysql-5.7.13        	0.1700	0.1600	0.1900	0.3500	0.8600	5.5900	14.570
mysql-5.7.14        	0.1800	0.1600	0.1900	0.3500	1.2600	7.3000	14.370
mysql-5.7.15        	0.1800	0.1500	0.1900	0.3500	0.7300	3.7100	14.680
mysql-5.7.16        	0.1600	0.1600	0.1900	0.3500	1.3200	7.3400	14.650
mysql-5.7.17        	0.1700	0.1500	0.1900	0.3500	1.1800	7.3000	14.540
mysql-5.7.18        	0.1700	0.1600	0.1900	0.3600	1.5800	7.3100	14.540
mysql-5.7.19        	0.1700	0.1500	0.1900	0.3500	2.2400	7.3500	14.220
mysql-5.7.20        	0.1800	0.1500	0.1900	0.3500	0.9300	7.2900	14.610
mysql-8.0.0         	0.1800	0.1700	0.2100	0.3700	0.7300	1.4800	3.0300
mysql-8.0.1         	0.2000	0.1700	0.2100	0.3900	0.7600	1.5200	3.1100
mysql-8.0.2         	0.2200	0.1800	0.2200	0.4100	0.8000	1.6100	3.3300
mysql-8.0.3         	0.2600	0.1900	0.2300	0.4200	0.8300	1.6700	3.4000
