#Workload: connect; select 1; disconnect;
#95%ile of connect time [ms]
#
#thread count       	1	8	16	32	64	128	256
mariadb-5.5.20      	---	---	---	---	---	---	---
mariadb-10.2.5      	0.1400	0.1500	0.1900	0.3700	0.6500	1.2200	3.7500
mariadb-10.2.6      	0.1400	0.1600	0.1900	0.3700	0.6500	1.2100	3.7100
mariadb-10.2.7      	0.1300	0.1600	0.1900	0.3700	0.6600	1.2300	3.7600
mariadb-10.2.8      	0.1400	0.1600	0.1900	0.3600	0.6300	1.1900	3.7100
mariadb-10.2.9      	0.1300	0.1600	0.1900	0.3700	0.6200	1.1700	3.7000
mariadb-10.2.10     	0.1400	0.1500	0.1800	0.3700	0.6400	1.2000	3.6800
mariadb-10.2.11     	0.1400	0.1500	0.1900	0.3700	0.6400	1.2000	3.7000
mariadb-10.2.12     	0.1300	0.1600	0.1800	0.3700	0.6300	1.2000	3.6900
mariadb-10.2.13     	0.1400	0.1500	0.1900	0.3700	0.6500	1.2100	3.7100
mariadb-10.3.0      	0.1400	0.1500	0.1900	0.3600	0.6600	1.2600	4.0000
mariadb-10.3.1      	0.1500	0.1900	0.3000	0.8600	1.9800	4.2000	8.6900
mariadb-10.3.2      	0.1500	0.1800	0.3000	0.8600	1.9800	4.2000	8.6200
mariadb-10.3.4      	0.1500	0.1800	0.3100	0.8600	1.9900	4.1900	8.6000
mariadb-10.3.5      	0.1500	0.1900	0.3200	0.8800	2.0100	4.2500	8.7400
mysql-5.6.26        	0.1600	0.2800	0.4800	0.9500	1.8200	3.6100	9.1300
mysql-5.6.27        	0.1600	0.2800	0.4700	0.9200	1.8200	3.6100	9.3100
mysql-5.6.28        	0.1600	0.2800	0.5000	0.9400	1.8200	3.6500	9.1600
mysql-5.6.29        	0.1600	0.2800	0.4800	0.9300	1.8100	3.6200	9.1000
mysql-5.6.30        	0.1600	0.2700	0.4900	0.9200	1.8000	3.6400	9.1800
mysql-5.6.31        	0.1900	0.2800	0.4900	0.9100	1.7700	3.6500	9.2500
mysql-5.6.32        	0.1700	0.2800	0.4900	0.9200	1.8000	3.6600	9.2600
mysql-5.6.33        	0.1600	0.2800	0.5100	0.9400	1.8200	3.6700	9.4600
mysql-5.6.34        	0.1600	0.2800	0.4800	0.9300	1.8200	3.6100	9.1800
mysql-5.6.35        	0.1700	0.2700	0.4800	0.9300	1.7900	3.5300	9.1100
mysql-5.6.36        	0.1600	0.2800	0.5100	0.9400	1.8200	3.7000	9.4400
mysql-5.6.37        	0.2400	0.2800	0.5100	0.9600	1.8600	3.7300	9.6700
mysql-5.7.9         	0.1900	0.2000	0.2400	0.5500	6.0100	12.950	26.260
mysql-5.7.10        	0.2200	0.2000	0.2500	0.5600	4.2300	14.320	29.460
mysql-5.7.11        	0.2000	0.2100	0.2500	0.5600	5.2000	14.450	29.720
mysql-5.7.12        	0.2000	0.2100	0.2600	0.5800	3.3900	14.450	29.730
mysql-5.7.13        	0.2100	0.2200	0.2600	0.5800	2.0400	10.890	29.830
mysql-5.7.14        	0.2400	0.2100	0.2600	0.5800	3.9000	14.470	29.290
mysql-5.7.15        	0.2200	0.2100	0.2600	0.5700	1.1900	9.7700	29.970
mysql-5.7.16        	0.2000	0.2200	0.2600	0.5700	3.8800	14.540	29.920
mysql-5.7.17        	0.2100	0.2100	0.2600	0.5800	3.6700	14.460	29.720
mysql-5.7.18        	0.2200	0.2200	0.2600	0.5800	4.6800	14.500	29.760
mysql-5.7.19        	0.2100	0.2100	0.2600	0.5800	5.5000	14.520	29.110
mysql-5.7.20        	0.2300	0.2100	0.2600	0.5700	2.7400	14.460	29.850
mysql-8.0.0         	0.2900	0.2200	0.2800	0.6000	1.2600	2.1200	4.6200
mysql-8.0.1         	0.3100	0.2300	0.2900	0.6200	1.3300	2.2600	4.7000
mysql-8.0.2         	0.3000	0.2300	0.3000	0.6700	1.4500	2.4900	5.0000
mysql-8.0.3         	0.3400	0.2500	0.3100	0.6900	1.5300	2.6800	4.3000
