#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#TPS
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-5.5.20      	---	---	---	---	---	---	---	---	---	---	---
mariadb-10.1.31     	833.38	5372.2	9521.0	11498	11726	11825	11789	11327	10224	10312	10212
mariadb-10.2.1      	799.19	5332.4	9383.4	11392	11530	11702	11566	11153	10134	10205	10142
mariadb-10.2.2      	814.54	5282.9	9178.1	10889	11144	11141	11298	10803	10059	9726.5	9764.3
mariadb-10.2.3      	787.33	5306.9	9167.3	11159	11360	11413	11430	10895	10226	9887.6	9943.6
mariadb-10.2.4      	765.58	5299.6	9330.3	11095	11330	11402	11554	11078	10284	9945.0	9873.6
mariadb-10.2.5      	796.68	5533.1	9492.7	11475	11728	11726	11864	11221	10721	10497	10175
mariadb-10.2.6      	760.84	5409.8	9449.3	11435	11588	11697	11835	11257	10648	10395	10038
mariadb-10.2.7      	780.50	5417.8	9484.4	11462	11503	11643	11784	11203	10771	10374	10160
mariadb-10.2.8      	788.27	5443.3	9518.2	11429	11486	11685	11828	10939	10620	10385	10010
mariadb-10.2.9      	817.71	5443.6	9553.3	11416	11541	11753	11859	11415	10793	10415	10014
mariadb-10.2.10     	814.54	5280.1	9511.0	11490	11531	11643	11742	11103	10683	10386	10041
mariadb-10.2.11     	815.32	5413.3	9442.7	11474	11618	11567	11923	11004	10689	10401	10397
mariadb-10.2.12     	816.87	5419.7	9509.9	11368	11581	11733	11821	11112	10849	10429	10080
mariadb-10.2.13     	821.49	5516.5	9606.1	11364	11663	11766	11879	11158	10725	10381	10148
mariadb-10.3.0      	811.54	5396.8	9481.2	11388	11526	11573	11724	11254	10635	10331	10067
mariadb-10.3.1      	797.33	5392.3	9268.0	11152	11242	11425	11499	10763	10388	10146	9842.9
mariadb-10.3.2      	751.60	5348.4	9442.3	11231	11389	11472	11614	11045	10474	10115	9900.0
mariadb-10.3.4      	784.70	5105.3	9212.2	11076	11226	11347	11485	10729	10434	10153	10000
mariadb-10.3.5      	784.62	5029.2	9266.3	11099	11283	11352	11511	10881	10409	10256	10119
