#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#95%ile of transaction time [ms]
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-5.5.20      	---	---	---	---	---	---	---	---	---	---	---
mariadb-10.1.4      	1.5600	1.6500	1.8100	3.0100	6.0700	12.340	24.110	52.860	115.08	229.91	450.61
mariadb-10.1.5      	1.5900	1.6800	1.7800	2.9800	5.9500	12.150	24.110	51.790	112.89	228.19	443.65
mariadb-10.1.6      	1.6200	1.6300	1.7900	2.9600	6.0100	11.780	24.220	50.800	109.79	215.96	448.72
mariadb-10.1.7      	1.6200	1.6500	1.7900	2.9500	5.9900	12.240	23.710	52.610	111.55	225.61	447.25
mariadb-10.1.8      	1.5500	1.6800	1.7800	2.9400	5.9500	12.080	24.640	52.460	113.88	223.46	448.18
mariadb-10.1.9      	1.6300	1.6900	1.8200	2.9600	5.9600	12.020	24.200	50.130	114.73	219.22	453.58
mariadb-10.1.10     	1.6400	1.6700	1.8100	2.9800	5.9900	12.130	24.800	51.320	111.18	213.01	421.13
mariadb-10.1.11     	1.5600	1.6500	1.7600	2.9200	5.9800	11.940	24.900	51.440	113.54	218.83	448.72
mariadb-10.1.12     	1.5300	1.6400	1.8000	2.9600	5.9400	11.730	23.940	51.820	111.25	226.49	441.13
mariadb-10.1.13     	1.5700	1.6600	1.7700	2.9300	5.9400	12.040	24.080	50.700	113.27	219.29	447.25
mariadb-10.1.14     	1.6000	1.7100	1.7900	2.9900	6.0800	12.410	24.880	50.030	115.18	218.04	450.20
mariadb-10.1.15     	1.6500	1.6500	1.7800	3.0000	6.0500	12.270	24.690	52.810	114.73	225.28	438.63
mariadb-10.1.16     	1.6200	1.6800	1.8400	3.0300	6.0700	12.160	24.540	48.890	110.82	217.00	460.28
mariadb-10.1.17     	1.6000	1.6400	1.8000	3.0100	6.1100	12.180	25.860	51.820	114.01	232.82	447.11
mariadb-10.1.18     	1.6500	1.7200	1.8100	3.0100	6.1200	12.060	25.050	51.350	116.46	230.80	458.36
mariadb-10.1.19     	1.6100	1.7200	1.8400	3.0700	6.1900	12.230	25.160	53.110	117.62	228.06	464.85
mariadb-10.1.20     	1.6600	1.7100	1.8200	3.0400	6.0900	12.180	24.130	51.480	112.39	232.96	446.58
mariadb-10.1.21     	1.6800	1.6800	1.8100	3.0200	6.1500	12.340	24.370	52.940	132.50	229.15	473.56
mariadb-10.1.22     	1.6400	1.6700	1.8400	3.0500	6.1400	12.400	24.620	51.220	112.49	222.79	447.11
mariadb-10.1.23     	1.5500	1.6900	1.8100	3.0300	6.1200	12.290	24.420	50.580	116.60	230.74	469.89
mariadb-10.1.24     	1.6400	1.7200	1.8300	3.0100	6.1400	12.350	24.240	50.510	110.12	220.01	451.15
mariadb-10.1.25     	1.5700	1.7000	1.7900	3.0300	6.1000	12.530	24.610	50.670	113.30	219.16	464.85
mariadb-10.1.26     	1.6500	1.6800	1.8200	3.0200	6.1800	12.300	24.920	52.730	115.80	237.46	465.27
mariadb-10.1.27     	1.6300	1.6700	1.8100	3.0500	6.1500	12.190	24.270	50.780	114.42	227.72	454.67
mariadb-10.1.28     	1.6500	1.6900	1.8000	3.0300	6.1100	12.470	24.420	51.270	114.91	219.68	450.74
mariadb-10.1.29     	1.5400	1.6900	1.8100	3.0200	6.0600	12.350	24.620	52.690	114.05	224.40	451.42
mariadb-10.1.30     	1.6000	1.6800	1.8200	3.0200	6.0900	12.240	24.730	51.980	117.97	220.60	448.59
mariadb-10.1.31     	1.5500	1.7000	1.8100	3.0200	6.1000	12.160	24.970	52.420	117.34	232.33	455.22
mariadb-10.2.1      	1.6500	1.7200	1.8500	3.0600	6.2400	12.130	25.020	51.470	116.22	228.13	465.83
mariadb-10.2.2      	1.6000	1.7400	1.8800	3.1800	6.3500	12.750	25.370	53.540	115.91	231.29	456.17
mariadb-10.2.3      	1.6800	1.7100	1.8800	3.1100	6.3200	12.240	25.200	52.210	115.35	227.31	455.49
mariadb-10.2.4      	1.7100	1.7900	1.8500	3.1400	6.2900	12.510	24.970	51.820	112.56	229.70	455.76
mariadb-10.2.5      	1.6600	1.6600	1.7900	3.0700	6.0600	12.060	24.550	74.830	171.25	369.05	590.81
mariadb-10.2.6      	1.7000	1.7200	1.8100	3.0700	6.1300	12.060	24.340	79.800	164.27	383.58	767.25
mariadb-10.2.7      	1.6800	1.7000	1.8000	3.0500	6.1800	12.020	24.630	60.070	158.19	356.35	680.27
mariadb-10.2.8      	1.7000	1.7100	1.8000	3.0500	6.1200	12.100	24.150	71.800	174.77	380.72	715.78
